,NOM,FORMAT,#catalogue1,#catalogue2,fournisseur2,fournisseur1,prix
four. bureau,cahier d'exercice Hibroy,,HRY05693,,,Corporate Express,0
four. bureau,Calculatrice de poche,,CANFC45S,,,Corporate Express,12.14
four. bureau,cartouche  d'encre HP Laser Jet C4096A,,C4096A(26120),,,Corporate Express,99.25
four. bureau,Cartouche à jet d'encre HP jaune,,HWEC4838AN,,,Corporate Express,34.57
four. bureau,Cartouche à jet d'encre HPnoir,,HEWC4844A,,,Corporate Express,34.57
four. bureau,"Cartouche couleur, photo 820",,EPST027201,,,Corporate Express,34.11
four. bureau,Cartouche d'encre  HP (Rafick),,HEWQ2612A,,,Corporate Express,98.99
four. bureau,cartouche d'encre HP 10e,,92298X,,,Corporate Express,109.37
four. bureau,Cartouche d'encre HP Magenta,,HEWC4837AN,,,Corporate Express,34.57
four. bureau,Cartouche d'encre XEROX 8400,pqt/6,108R00608,,,Corporate Express,157.49
four. bureau,"Cartouche noir, photo 820",,EPST026201,,,Corporate Express,41.76
four. bureau,Cartouche Zio Iomega 250 Mo,8/paquet,IOM11097,,,Corporate Express,0
four. bureau,Cartouche Zip Fujifilm Formatées IBM/MAC,100Mo,FUJ551212,,,Corporate Express,14.45
four. bureau,Cartouche ZIP Iomega,paquet,FUJ400145,IOM11094,,Corporate Express,34.25
four. bureau,Cartouches de ruban pour étiqueteuses P-touch - SérieM,12 mm,BRTMK231,,,Corporate Express,15.29
four. bureau,Cartouches Zip amobiles 100/250 Mo Iomega,10/paquet,IOM10029,,iomega,Corporate Express,139.28
four. bureau,Cartouches Zip amovibles,10/paquet,IOM10028,,iomega,Corporate Express,139.28
four. bureau,cartouches Zip iomega Mac 750mo,paquet/8,IOM32461,,,Corporate Express,155.69
four. bureau,"CD-R  Maxell 700mb,80min",tour,MAX648250,,,Corporate Express,40.1
four. bureau,CD-Rom,50 / Paquet,MAX623251,MAX623251,Maxell,Corporate Express,40.04
four. bureau,chemise à dossier bleu,boite,ESSR415BL4,,,Corporate Express,0
four. bureau,Chemise à dossier Bleu,Lettre,ESSR415BLU,,,Corporate Express,7.89
four. bureau,Chemise à dossier bleu,,ESSR615NAV,,Oxford,Corporate Express,9.35
four. bureau,Chemise à dossier brun,,ESSR615BUR,,Oxford,Corporate Express,9.35
four. bureau,Chemise a dossier jaune,,ESSR415YLW,,,Corporate Express,15.36
four. bureau,Chemise à dossier orange,Boite de 100,ESSR415ORG,,Oxford,Corporate Express,7.89
four. bureau,Chemise à dossier Red,lettre,ESSR415RED,,,Corporate Express,7.89
four. bureau,Chemise à dossier vert,lettre,ESSR415GRN,,,Corporate Express,7.89
four. bureau,chemise a dossier vert légal,bte/100,ESSR615GRN,,,Corporate Express,48
four. bureau,Chemise fiche Oxford en poly,,ESS50980C,,Oxford,Corporate Express,10.59
four. bureau,chemise format lettre,100/bte,ESSR615BLU,,,Corporate Express,9.37
four. bureau,chemise format lettre,100/bte,ESSR615GRY,,,Corporate Express,9.37
four. bureau,Chemise supendu rouge,,ESS5152RED,ESS5152RED,,Corporate Express,15.36
four. bureau,chemises suspendues légal oxford ble,bte 25,ess91833,,,Corporate Express,14.04
four. bureau,chemises suspendues légal oxford bourgogn,bte 25,ess91835,,,Corporate Express,14.04
four. bureau,"Ciseaux au titane 8""",,ACM13529,,Acme United Corporation,Corporate Express,7.95
four. bureau,Ciseaux droits,,ACM6118,,,Corporate Express,5.52
four. bureau,Ciseaux économique,,ACM2208,,Acme United Corporation,Corporate Express,1.66
four. bureau,classeur,,ESSO3948,,,Corporate Express,9.59
four. bureau,Classeur portatif Portafiles,,ESS01156,,Oxford,Corporate Express,10.87
four. bureau,Classeur pour revues,,FEL07223,,Fellowes,Corporate Express,1.54
four. bureau,Classeur Vertical,10 X 8 3/8 X 5,WRKD6BLK,,,Corporate Express,18.24
four. bureau,Classeur-trieur Bankers Box,,FEL0421,,,Corporate Express,34.06
four. bureau,Correcteur à sec,,EXP30005,PAP56332,,Corporate Express,1.45
four. bureau,Couverture de présentation Bleu,,ACC29253,,,Corporate Express,8.09
four. bureau,Crayon à Mine,,SAN02097,,,Corporate Express,0.18
four. bureau,crayon noir stylo-feutre pointe extra-fine,bte /12,SAN31001,,,Corporate Express,1.77
four. bureau,Déchiquetteuse,,FEL32575,,,Corporate Express,59.99
four. bureau,Devidoir de bureau Scotch de luxe,,MMMC40BK,,,Corporate Express,0
four. bureau,Dévidoir de ruban d'emballag,,MMMHB903,,,Corporate Express,9.53
four. bureau,Dévidoir pour ruban à masquer,,MMMC23,,,Corporate Express,48.81
four. bureau,Disques compacts inscriptibles TDK (CD-R),50 par paquet,TDKCDR80CAKE50,,TDK,Corporate Express,0
four. bureau,disques compacts réinscriptible,5/paquet,IMN41424,,,Corporate Express,14.72
four. bureau,Disques compacts reinscriptibles Maxell (CD-RW),,MAX630020,,Maxell,Corporate Express,2.48
four. bureau,Dossier Suspendu Légal,,ESS91837,,Oxford,Corporate Express,14.04
four. bureau,Dossier suspendu Oxford,Boite de 25,ESS92710,,Oxford,Corporate Express,11.54
four. bureau,"DVD+R , 4.7 G , 4X",paquet/25,MAX634038,,Maxell,Corporate Express,31.13
four. bureau,DVD+R 4.7G 4X Maxell,tour,MAX634050,,,Corporate Express,31.13
four. bureau,DVD-R écriture unique,un,IMN16637,,Imation,Corporate Express,1.67
four. bureau,DVD-RW  4.7Go,PQT/5,MAX635125,,,Corporate Express,17.09
four. bureau,Écouteur Philips 700,,PSPLFH0234,,,Corporate Express,59.77
four. bureau,enveloppe pour CD,100bte,FEL90691,,,Corporate Express,8.35
four. bureau,Étiquette Blanch,,AVE30440,,,Corporate Express,2.69
four. bureau,Étiquettes d'adress,1000/paquet,AVE05163,,,Corporate Express,21.09
four. bureau,Étiquettes d'adresse Lase,1000pqt,EXP00713,,,Corporate Express,13.57
four. bureau,Étiquettes laser permanentes,,AVE05366,,,Corporate Express,12.68
four. bureau,fichier v-filer pour cartes d'affaires,UnitÃ,FEL85129,FEL85129,Fellowes,Corporate Express,13.77
four. bureau,fichier v-filer pour cartes d'affaires,,ROLD67261AS,,,Corporate Express,37.99
four. bureau,Gomme à effacer Mars Plastic en vinyle blanc,,STD52650,,,Corporate Express,0.64
four. bureau,Gomme à effacer Mars Plastic en vinyle blanc,,ACMX10053,,,Corporate Express,0.99
four. bureau,Intercalaires à onglets insérables,,PTFR2138C,,,Corporate Express,0.57
four. bureau,Intercalaires a tres large onglets,pkt 8,PTFR2138A,,,Corporate Express,1.85
four. bureau,Intercalaires Worksaver a onglet grand format,8 onglets,AVE11123,,AVERY,Corporate Express,1.96
four. bureau,Liquide correcteur blanc pour papier bond,,PAP59032,26166,GRM,Corporate Express,1.51
four. bureau,Marqueur permanent Sharpie noir,12/box,SAN30001,,,Corporate Express,0.9
four. bureau,Marqueur permanent Sharpie noir ultra fine,12/box,SAN37001,,,Corporate Express,1
four. bureau,mine pour crayon porte mine .5 HB,,PENC505HB,,BIC,Corporate Express,1.89
four. bureau,Mini-cassettes pour appareils à dicter,,PSPLFH0007,,,Corporate Express,15.56
four. bureau,Panier à rebuts Eldon standar,,ELD29551,,Eldon,Corporate Express,4.41
four. bureau,Panier superposable lettre noir,,ESS03948,,,Corporate Express,5.44
four. bureau,Papier G.P. à indice de brillance 97 imprimante laser,500 par paquet,GEP998241,,,Corporate Express,16.27
four. bureau,Papier Glacé,20,epss041124,epss041124,,Corporate Express,17.28
four. bureau,papier photo,pqt/20,so41124,,,Corporate Express,18.17
four. bureau,Perforateur,UnitÃ,SWI74300,SWI74300,,Corporate Express,59.45
four. bureau,Perforateur M10/M12,,SWI74003,,,Corporate Express,4.97
four. bureau,Perforateur pour papier,,SWI74020,,Swingline,Corporate Express,14.45
four. bureau,Perforateur Precision Pro,,SWI74038,,Swingline,Corporate Express,11.43
four. bureau,Perforateur tête réglage M12,,SW174003,,,Corporate Express,7.65
four. bureau,Pince - note repliable,12 pinces / Boît,EXP90000,EXP90000,,Corporate Express,0.33
four. bureau,Pince-note repliable,,EXP90001,,,Corporate Express,0.69
four. bureau,"Pince-note repliable 1""",,EXP90005,,,Corporate Express,0.5
four. bureau,pochette pour CD,5/paquet,GMX4CD5,,,Corporate Express,10.99
four. bureau,pochettes en plastique pour cartes d'affaires,,GMX5811103,,,Corporate Express,5.29
four. bureau,pointeur laser Stealth avec pochette,,MNGLP100BX,,,Corporate Express,39.99
four. bureau,Porte cartes d'affaires,128cartes,EBOBCH128BK,,,Corporate Express,7.96
four. bureau,porte crayon,,ELD14096,,,Corporate Express,15.99
four. bureau,porte crayon,,ELD38916,,,Corporate Express,14.99
four. bureau,Porte mine  Staedtler,,STD9705S,,,Corporate Express,3.45
four. bureau,Porte-crayons Starmark,,ESS03777,,Starmark,Corporate Express,4.7
four. bureau,porte-trombones magétique,,ACM83014,,,Corporate Express,0
four. bureau,Post-it 3X3,pqt,MMM654YW,,,Corporate Express,0.83
four. bureau,Protecteur de feuilles,,GMXFV427,,,Corporate Express,10.56
four. bureau,Protecteur de feuilles à ouverture sur le bout (3 trous),100/boite,EXP03030,,,Corporate Express,18.99
four. bureau,Protecteur de feuilles en vinyle à ouverture sur le bou,,GMX41193,GMX41193,,Corporate Express,0
four. bureau,Punaise en plastique,,ACMX350,,,Corporate Express,1.66
four. bureau,Recharge Agenda 1 mois / 2 pages anglais,,DTM87229,,,Corporate Express,7.69
four. bureau,Règle,,ACMR40812,,,Corporate Express,0.67
four. bureau,Reliure à anneaux Impact moulée,,WLJ43474,,,Corporate Express,3.5
four. bureau,reliure a anneaux rond,bourgogne,cebr1115by,,,Corporate Express,8.09
four. bureau,reliure à anneaux rond 1 1/2 vert,,CEBR1115GN,,,Corporate Express,3.64
four. bureau,reliure à anneaux rond bleu pale 1 1/2,,CEBR1115BE,,,Corporate Express,3.64
four. bureau,Reliure a anneaux ronds Line Versatile 368,"1 1/2""",ACC13563,,ACCO,Corporate Express,3.26
four. bureau,reliure à anneaux rouge 1 1/2,,CEBR1115RD,,,Corporate Express,3.64
four. bureau,Reliure moulée en pol,,WLJ50204,,Wilson,Corporate Express,3.5
four. bureau,Reliure Moulée en Pol,,WLJ50205,,Wilson Jones,Corporate Express,3.5
four. bureau,Reliure moulée en pol,,WLJ50302,,Wilson Jones,Corporate Express,0
four. bureau,reliure moulée en poly,,WLJ50303,,,Corporate Express,4.32
four. bureau,Reliure Moulée en poly,"vert 1.5""",WLJ50304,,,Corporate Express,4.32
four. bureau,Reliure moulée en poly,,WLJ50305,,,Corporate Express,4.32
four. bureau,Ruban,each,MMM202024,,,Corporate Express,1.49
four. bureau,Ruban 12mm de large,12mm de large,BRTTZ231,,,Corporate Express,14.46
four. bureau,ruban à masquer 18m,,MMM202018,MMM202018,,Corporate Express,1.11
four. bureau,Ruban adhésif Corporate Express invisibl,,EXP818PP,,,Corporate Express,2.18
four. bureau,Ruban adhésif dévidoir,50 m,EXP41200,,,Corporate Express,2.29
four. bureau,Ruban adhésif transparent,48mmX100m,EXP41201,,,Corporate Express,1.31
four. bureau,Ruban adhésif transparent,bte/8,EXP618PP,,,Corporate Express,1.44
four. bureau,Ruban d'emballage 48mm,50 m de long,MMM37102CL,,,Corporate Express,1.25
four. bureau,Ruban invisible 12.7mm x 33 mm recharge,,EXP812R1233,,,Corporate Express,1.35
four. bureau,Sous-main calendrier du bureau recyclÃ,,DMNC181731,,Blueline,Corporate Express,3.07
four. bureau,Stylo à bill,,PAP58011,,,Corporate Express,1.29
four. bureau,Stylo à bill,,PAP58013,,Paper Mate,Corporate Express,1.29
four. bureau,Stylo a bille,Unité,PAP 61601,PAP 61601,,Corporate Express,0.45
four. bureau,Stylo a bille,Unité,PAP61801,PAP61801,,Corporate Express,0.45
four. bureau,Stylo à bille,bte/12,PAP33811,,,Corporate Express,1.65
four. bureau,Stylo à bille,Bleu,PAP63101,,,Corporate Express,0.62
four. bureau,Stylo à bille BI,unit,BICCSM11BE,,BIC,Corporate Express,0.62
four. bureau,Stylo a bille ComfortMate,Boite de 12,PAP61601,,Paper Mate,Corporate Express,0.45
four. bureau,Stylo à Bille ComfortMate,,PAP61701,,,Corporate Express,0.62
four. bureau,Stylo à bille ConfortMate,bte12,PAP33711,,Paper Mate,Corporate Express,1.66
four. bureau,Stylo a bille Flexgrip,12 par boite,PAP96501,,Paper Mate,Corporate Express,1.1
four. bureau,Stylo à bille noir,,PAP63301,,,Corporate Express,0.62
four. bureau,Stylo à bille rétractable Soft Fe,,BICSCSM11BE,,,Corporate Express,0.81
four. bureau,Stylo à bille roulante Triplus,,STD4039,,,Corporate Express,1.24
four. bureau,"Stylo à bille roulante Z4, encre liquide",,BICR4M11BL,,BIC,Corporate Express,1.19
four. bureau,Stylo à bille Sure Gri,,PAP56012,,Paper Mate,Corporate Express,0.96
four. bureau,Stylo à bille Sure Gri,Boite de 12,PAP56023,,Paper Mate,Corporate Express,0
four. bureau,Stylo à bille Sure Grip,bte 24,PAP33611,,Paper Mate,Corporate Express,1.66
four. bureau,Stylo a bille Sure Grip pointe fine noir,,PAP56021,,Paper Mate,Corporate Express,0.96
four. bureau,Stylo Papermate,,EXP57602,,,Corporate Express,1
four. bureau,Stylo-feutre Triplus Fineliner,,STD3343,,,Corporate Express,0.88
four. bureau,Stylo-feutre Triplus Fineliner,,STD3349,,,Corporate Express,0.88
four. bureau,Support Plastique,pqt / 3,ELD65974,,,Corporate Express,39.99
four. bureau,Surligneur Blue,bte/12,EXP54145,,,Corporate Express,0.33
four. bureau,Surligneur Grip Briteliner,,BICGBL11BL,,,Corporate Express,0.72
four. bureau,Surligneur Grip Briteliner,,BICGBL11YE,,,Corporate Express,0.72
four. bureau,Surligneur Grip Briteliner,,EXP54141,,,Corporate Express,0.33
four. bureau,Surligneur Grip Briteliner,,EXP54142,,,Corporate Express,0.33
four. bureau,Surligneur Text Accent,,SAN21206,,Accent,Corporate Express,1.37
four. bureau,Surligneur Text Accent,,SAN21226,,Accent,Corporate Express,1.37
four. bureau,Tableau combinaison liège et marqueur 36x48,,QRTS554,,,Corporate Express,105.12
four. bureau,Tableau Lièg,,QRT736231,,,Corporate Express,34.99
four. bureau,Trombones,,EXP40020,,,Corporate Express,0.26
four. bureau,"Trombones 1"" de long",,ACC72320,,,Corporate Express,0.28
four. labo,vaporisateur d'air,,CEB9963501,,,Corporate Express,20
four. bureau,Xerox solid ink 8400 cyan,pkt 3,108R00605,,Xerox,Corporate Express,157.49
four. bureau,Xerox solid ink 8400 jaune,pkt 3,108R00607,,Xerox,Corporate Express,157.49
four. bureau,Xerox solid ink 8400 magenta,pkt 3,108R00606,,Xerox,Corporate Express,157.49
anticorps&autres,Anti-Bcl2 oncoprotein clone 124,1ml,M0887,,,dako canada,461
anticorps&autres,anti-humain HLA-ABC R-PE,100 tests 1.0 ml,R7000,,,dako canada,549.05
anticorps&autres,monoclonal mouse anti-human prostatic acid phosphatase clone PASE/4LJ,,M0792,,,dako canada,250
anticorps&autres,HUMAN CD1b PE CONJUGATED,,854.742.010,,,diaclone,210
four. labo,Ciseaux a cuticules,1,M30-66,,,Dismed,3.73
gants,gants en nitrile NITRA-Tex Large,Cse/10 boîte,4006,3553,,Dismed,122.5
gants,gants en nitrile NITRA-Tex Medium,Cse/10 boîte,4004,3552,,Dismed,122.5
four. labo,Large autoclave bags,100/Caisse,9458E,9458E,,Dismed,95.02
four. labo,pince à pancement courbé,,M6-32,,,Dismed,3.54
four. labo,Pinces IRIS,1,M6-64,,,Dismed,6.13
four. labo,Pinces N°5,1,M10-22,,,Dismed,4.6
four. labo,Sac à autoclave Mediu,,9257F,,,Dismed,118.55
four. labo,Scalpel Handle,,M36-10,,,Dismed,3.92
four. labo,Surgical Blades,1 boite /100 blades,M90-10,,,Dismed,12.31
anticorps&autres,anti-CD27-APC Cy7 humain,100 ug,10-0279-82,,,ebiosciences,455
anticorps&autres,anti-human APC-Cy7 CD62L,100test,10-0629-73,,,ebiosciences,295
anticorps&autres,anti-human Cd31 APC,100test,17-0319-73,,,ebiosciences,225
anticorps&autres,APC anti-mouse CD127 - clone A7R34,100 ug,17-1271-82,,,ebiosciences,365
anticorps&autres,APC Rat IgG2a isotype control,50 ug,17-4321-81,,,ebiosciences,105
anticorps&autres,eBioscience IC Fixation Buffer,125 ml,00-8222-49,,,ebiosciences,102
anticorps&autres,eBioscience Permeabilization Buffer(10X),100 ml,00-8333-56,,,ebiosciences,102
anticorps&autres,Fitc anti mouse/rat Foxp3 Staining kit,,71-5775,,,ebiosciences,345
anticorps&autres,FITC anti-human Foxp3,100 tests,11-4776-73,,,ebiosciences,355
anticorps&autres,Fix/Perm Concentrate Buffer,30 ml,00-5123-43,,,ebiosciences,95
anticorps&autres,Fix/Perm Diluent Buffer,100 ml,00-5223-56,,,ebiosciences,35
anticorps&autres,foxp3,1 boîte,71-5776-40,,,ebiosciences,350
anticorps&autres,Functional grade anti B7-H1,100µg,16-5983-82,,,ebiosciences,225
anticorps&autres,Normal rat serum,500 ul,24-5555-94,,,ebiosciences,15
anticorps&autres,PE anti mouse CD127,100 microgrammes,12-1271-82,,,ebiosciences,185
anticorps&autres,PE anti-human Dr3,liquid,12-6603-71,,,ebiosciences,150
anticorps&autres,PE anti-human HLA-DR (LN3),100tests,12-9956-73,,,ebiosciences,235.84
anticorps&autres,Rat IgG2a PE isotypic control,0.5ml - 2mg/ml,12-4321-82,,,ebiosciences,140
anticorps&autres,Recombinant Human Interleukin-2,10µg,14-8029-63,,,ebiosciences,180
anticorps&autres,Cell Line  OMV,,98092903,,,ecacc,315
anticorps&autres,Cell line SWE1G0075,,88052037,,,ecacc,315
anticorps&autres,Azlon corboys,,DYN-5056342,DYN-5056342,,esbe scientific,76.96
anticorps&autres,Cell Line Nucleofector Kit V,25 reactions,VCA-1003,,,esbe scientific,572.63
anticorps&autres,HTC culture medium,2000ml,VZB-4002,,,esbe scientific,196.92
anticorps&autres,Huamn dendritic cells nucleofector kit I,25 transfections,VPA-1004,,,esbe scientific,572.63
anticorps&autres,Human T Cell Nucleofector Kit,25reaction,VPA-1002,,,esbe scientific,575
four. labo,Large capacity Absorbent Strips,Pk/250,STP 150,,Saf T Pak,esbe scientific,53.72
plastique,Narrow mouth wash bottle,12/ paquet,BRT-11618008,BRT-11618008,,esbe scientific,52.45
four. labo,Saf T Pak High Capacity Secondary Pressure Vessel,Pk/50,STP 710,,Saf T Pak,esbe scientific,146.83
four. labo,Saf T Pak Medi freeze Packaging System,each,STP 300,,Saf T Pak,esbe scientific,32.57
four. labo,STP-100 Refurbishment Box and Label,Paquet de 12,STP-101A,,,esbe scientific,37.62
four. labo,Support pour tablette du congélo -80C,,SAN-6250734726,,,esbe scientific,64
four. labo,Tablettes Supplémentaires  pour le Congélo -80C,,SAN-6242039839,,,esbe scientific,177.8
anticorps&autres,Venting slovent labeled,3 / Paquet,BRT-116420637,BRT-116420637,,esbe scientific,28.31
anticorps&autres,GeneRuler™ 1kb DNA ladder,250µg,SM1163,,,fermentas life sciences ,113
anticorps&autres,GeneRuler DNA ladder,5tubes,SM0242,,,fermentas life sciences ,192
four. labo,1ml assay block,25/case,9761116,3958,Costar,Fisher scientific,121.93
plastique,250ml storage bottle,24/cs,097614,,,Fisher scientific,67.78
anticorps&autres,Acide acétique glacial,2.5L,A38212,,,Fisher scientific,17.44
plastique,anneaux pour bouteille,,05-869-7,,,Fisher scientific,23.44
plastique,bottle with cap,500 ml,SCGPU05RE,,,Fisher scientific,116.13
four. labo,Centricon Plus 80 Biomax PB Membrane 100kD,,UFC5BHK08,,,Fisher scientific,198.4
four. labo,Centriprep YM-10,box 24,4304,,,Fisher scientific,316.82
four. labo,"Centriprep,YM-30",24,4306,,,Fisher scientific,320
four. labo,Chargeur de colonne MultiScreen 45 µl,,MACL 096 45,,,Fisher scientific,334.34
four. labo,Chromatography paper Whatman ( 19cmX100 m ),Roll,05-716-3R,,,Fisher scientific,200
plastique,conic centrifuge bottle,6,07-200-621,,,Fisher scientific,23.06
plastique,Corning Storage Bottle 1L ,CS/24,0976111,430518,,Fisher scientific,131.73
plastique,couvert pour plaque,ce100,07200744,,,Fisher scientific,149.68
plastique,"Cover slip, 24X50 mm",1 once,12 548-5M,,,Fisher scientific,4.95
four. labo,Cryovials NAlgene,Caisse de 500,03-337-7Y,3019809,GRM,Fisher scientific,215.49
four. labo,Drierite absorbent 10-20 MSH,500lb,07-578-4A,,,Fisher scientific,11.84
four. labo,Electrode storage solution,,SE401,,,Fisher scientific,15.4
four. labo,Electrodes,,13-620-531,,,Fisher scientific,189.4
plastique,Filtre steritop 500 ml,,SCGVU 05 RE,,,Fisher scientific,102.9
plastique,Filtres-steritop-500ml-sans-bouteille,,SCGVT05RE,,Millipore,Fisher scientific,59.85
four. labo,Fisherbrand colored label tapes,pk/3,1590110G,1188010G,,Fisher scientific,10.88
four. labo,Fisherbrand colored label tapes,PK/3,159015E,11-880-5E,,Fisher scientific,11.12
plastique,Fisherbrand Interlocking Four-way tube racks,pack of 5,0344817,,,Fisher scientific,27.18
plastique,Fisherbrand* 20mL HDPE Scintillation Vials,500 vials,03-337-23A,,,Fisher scientific,81.44
anticorps&autres,"Goat Anti-Human IgG F(ab)2 Fragment Specific, Peroxidase Conjugated antibody",1.5ml,pi31414,,,Fisher scientific,214.02
four. labo,Hemacytometer,,02-671-5,,,Fisher scientific,185.67
four. labo,Max memory Pipetting Aid,,13-681-103A,,BellArt,Fisher scientific,527.33
four. labo,membrane PVDF de transfret ( 0.45 um),"1 Rouleau, 26.5 cm X3.75 m",IPVH 00010,,,Fisher scientific,316.22
four. labo,Microcon YM-10,100 Unité,42407,42407,,Fisher scientific,353
four. labo,Montage PCR 250 (Lydie),,UFC7 PC250,,,Fisher scientific,417
four. labo,"MultiScreen Centrifuge Align Frame Blue, Aqueous Applications",4/pack,MACF09604,,,Fisher scientific,42
four. labo,MultiScreen HV 0.45 µm Clear Non-sterile,10/pk,MAHVN4510,,,Fisher scientific,174
four. labo,Octagonal Magnetic Stir Bars 1 pouce,diameter 5/16 in & length 1 in,1451359,,,Fisher scientific,0.82
four. labo,O-ring,,2143S,2143S,,Fisher scientific,7.63
four. labo,O-ring,,FSSP9725439,2142S,,Fisher scientific,11.11
plastique,Pétris bactériologie 100mmx20,,430167,,Corning,Fisher scientific,164.75
plastique,Plaques 96 puits à fond profond de 1 m,25 par case,09-761-116,3958,Costar / Corning,Fisher scientific,195.92
four. labo,Polycarbonate Membrane Transwell Insert 3µ,48,CS003415,,Corning,Fisher scientific,196.26
four. labo,Polycarbonate Transwell Inserts,cs/48,CS003401,,,Fisher scientific,216.97
plastique,Preparation Racks for pcr,case4,05-541-50,,,Fisher scientific,212.75
plastique,Pyrex Disposable Culture Tubes,cs/1000,149621C(99445-12),,Corning,Fisher scientific,36.4
plastique,Rack storage green reversible with lid,case12,21-236-39,,,Fisher scientific,204.99
four. labo,Riboprobe® System—SP6,1 system,PRP1420,,,Fisher scientific,141.12
four. labo,Roll Stock Pouches,9.5x125,0181226D,,,Fisher scientific,566.64
four. labo,"Short range alkacid, pH 6.0-8.5",,A-983,,,Fisher scientific,42.17
plastique,slides superfrost plus,144,12-550-15,,,Fisher scientific,27
plastique,Sparkleen 1.,1.5 kg,04 320 04,,,Fisher scientific,51.12
plastique,Steritop 150 ml,,SCGPT 01 RE,,Millipore,Fisher scientific,49.77
plastique,Steritop 250ml,12,SCGV T02 RE,,,Fisher scientific,50
plastique,Steritop 500 mL,,SCGVU05RE,,Millipore,Fisher scientific,172
anticorps&autres,Stirred cells,,5124,,,Fisher scientific,1447.5
plastique,Storage Bottle Sterile 250ml #430281,CS/24,097614,430281,,Fisher scientific,67.78
anticorps&autres,T3 RNA Polymerase,1000U,PRP2083,,,Fisher scientific,43.78
anticorps&autres,T7 RNA Polymerase,1000U,PRP2075,,,Fisher scientific,60.54
anticorps&autres,TaKaRa,"1,000",TAKRR001B,,,Fisher scientific,930.7
anticorps&autres,TaKaRa Ex Taq,3000 units,RR001C,,,Fisher scientific,2120
four. labo,Thermomètre  -10 à 110,,15-021-5B,,,Fisher scientific,13.86
four. labo,transfert pipets 5ML,500/PK,13-711-9A,,,Fisher scientific,16.81
four. labo,tubing,,15025AM,,,Fisher scientific,24.83
four. labo,"Tubing ID 5/16"" OD 9/16""",50 pieds de long,14-169-IP,,,Fisher scientific,130.52
four. labo,UVEX skyline spectacles clear glasses,XTR S2001,19050902,,,Fisher scientific,7.44
four. labo,YM-10 ultrafiltration membrane diameter 76mm,boite de 10,13642,,,Fisher scientific,248.23
four. labo,Cryo-Labels,624,CL-8,,,g.a. international,47.6
four. labo,Labels for top of 0.5 mL tubes,4224,HCL-10,,,g.a. international,47.6
four. labo,Labels for top of micro-centrifuge tubes,2160,RCL-5YE,,,g.a. international,50.4
anticorps&autres,Anti-TOSO antibody,200ug,GEA5014-1,,,genetex ,150
anticorps&autres,"Mouse Anti-PLAP Monoclonal Antibody, Unconjugated, Clone H17E2",100 ug,GTX11299,,,genetex ,295
plastique,"0,2 ml strip of 8 PCR tubes",,3019714,72.985.002,Sarstedt,GRM,63
plastique,0.2 ml PCR tubes non steriles,pk/500,3019562,72.737.002,Sarstedt,GRM,25
anticorps&autres,100bp DNA ladder,50µg,52092,n3231s,NEB,GRM,79.2
anticorps&autres,100mM dNTP set,4 X 25 umol,52194,10297-018,Invitrogen,GRM,113.9
plastique,15-Well Comb,1,170-4445,170-4445,Bio-Rad,GRM,66
plastique,96 multiply-PCR plate,bte/25,72-1978-202,72-1978-202,Sarstedt,GRM,87.5
anticorps&autres,AatII,500U,3003432,r0117s,NEB,GRM,72
anticorps&autres,AffiniPure Goat anti mouse IgG (H+L),"1,5mg",3033146,115-005-146,medicorp-jackson ,GRM,93
anticorps&autres,"Agar ,bacteriologique grade",500g,52344,400-800150,Wisent,GRM,89.99
four. bureau,Agenda 2005 format president,unit,26515,,,GRM,8.38
four. bureau,Agenda2006,unit,26296,,,GRM,4
four. bureau,agrafeuse,unit,58035,EXP90040,SW154501,GRM,2.59
four. bureau,agraffes standards swingline sf-1,bte/5000,26183,,,GRM,0.32
four. labo,Aiguille prélèvement echantillon 21G,cs/100,9145,,,GRM,8.96
four. labo,Aluminium wrap,Roll,55864,29952-040,VWR,GRM,15.1
anticorps&autres,Antarctic Phosphatase,1000U,3029516,m0298s,Bio-Rad,GRM,88
anticorps&autres,Anticeptique sans eau,1L,3000482,,,GRM,9.01
four. labo,Appareil de contention de souris,unit,51524,,,GRM,59.74
four. bureau,Attache croisées Idéal,bte/12,58057,,,GRM,0.7
anticorps&autres,Bcl I,3000 u,3002623,R0160S,Bio-Rad,GRM,72
anticorps&autres,Bgl II,2000 u,3000311,,,GRM,51.35
four. bureau,bloc de feuillets autoadhesifs lignés post-it,,3002715,,,GRM,2.7
four. bureau,Bloc de papier blanc ligné tablette,,58088,,,GRM,0
four. bureau,Bloc Steno,,58123,CEB05350,,GRM,2.29
four. labo,Boîte de transport pour matières infectieuses STP 1,cs/12,22223,,,GRM,260.37
four. labo,Boîte NALGENE pour entreposer les cryovials ds cuve d'azot,Bte/10,3019990,,,GRM,99.92
four. labo,Boite-en-carton-plastifie-pour-tubes-0.5-ml,,3024281,95.064.923,,GRM,4
four. labo,Bouteille CO2,22.68 KG,21437,,,GRM,20.24
anticorps&autres,Bovine serum ,500 ml,3012138,16170-078,Invitrogen,GRM,46
anticorps&autres,Buffer RLT,220 ml,3003393,79216,Qiagen,GRM,129
four. bureau,cahier à reliure spirale,,58158,,,GRM,0.32
four. bureau,Calculatrice,de poche,99780,,,GRM,4.78
four. bureau,Cartouche à jet d'encre HP cyan,labo9e,3002802,HEWC4836AN,HP,GRM,34.57
